title,rating,year,actors,runtime,url
White Heat,8.1,1949,James Cagney;Virginia Mayo;Edmond O'Brien;Margaret Wycherly,114,https://www.imdb.com/title/tt0042041/
Banshun,8.3,1949,Chishû Ryû;Setsuko Hara;Yumeji Tsukioka;Haruko Sugimura,108,https://www.imdb.com/title/tt0041154/
De erfgename,8.2,1949,Olivia de Havilland;Montgomery Clift;Ralph Richardson;Miriam Hopkins,115,https://www.imdb.com/title/tt0041452/
Rashômon,8.2,1950,Toshirô Mifune;Machiko Kyô;Masayuki Mori;Takashi Shimura,88,https://www.imdb.com/title/tt0042876/
Vreemde ontmoeting,8.0,1950,Humphrey Bogart;Gloria Grahame;Frank Lovejoy;Carl Benton Reid,94,https://www.imdb.com/title/tt0042593/
Los olvidados,8.3,1950,Alfonso Mejía;Roberto Cobo;Estela Inda;Miguel Inclán,85,https://www.imdb.com/title/tt0042804/
All About Eve,8.2,1950,Bette Davis;Anne Baxter;George Sanders;Celeste Holm,138,https://www.imdb.com/title/tt0042192/
Sunset Boulevard,8.4,1950,William Holden;Gloria Swanson;Erich von Stroheim;Nancy Olson,110,https://www.imdb.com/title/tt0043014/
Scrooge,8.1,1951,Alastair Sim;Jack Warner;Kathleen Harrison;Mervyn Johns,86,https://www.imdb.com/title/tt0044008/
Het grote carnaval,8.1,1951,Kirk Douglas;Jan Sterling;Robert Arthur;Porter Hall,111,https://www.imdb.com/title/tt0043338/
De maniak,8.0,1951,Farley Granger;Robert Walker;Ruth Roman;Leo G. Carroll,101,https://www.imdb.com/title/tt0044079/
Early Summer,8.2,1951,Setsuko Hara;Chishû Ryû;Chikage Awashima;Kuniko Miyake,125,https://www.imdb.com/title/tt0043313/
A Streetcar Named Desire,8.0,1951,Vivien Leigh;Marlon Brando;Kim Hunter;Karl Malden,122,https://www.imdb.com/title/tt0044081/
Singin' in the Rain,8.3,1952,Gene Kelly;Donald O'Connor;Debbie Reynolds;Jean Hagen,103,https://www.imdb.com/title/tt0045152/
Ikiru,8.3,1952,Takashi Shimura;Nobuo Kaneko;Shin'ichi Himori;Haruo Tanaka,143,https://www.imdb.com/title/tt0044741/
Umberto D.,8.2,1952,Carlo Battisti;Maria Pia Casilio;Lina Gennari;Ileana Simova,89,https://www.imdb.com/title/tt0045274/
Jeux interdits,8.1,1952,Georges Poujouly;Brigitte Fossey;Amédée;Laurence Badie,86,https://www.imdb.com/title/tt0043686/
Saikaku ichidai onna,8.1,1952,Kinuyo Tanaka;Tsukie Matsuura;Ichirô Sugai;Toshirô Mifune,148,https://www.imdb.com/title/tt0045112/
Roman Holiday,8.0,1953,Gregory Peck;Audrey Hepburn;Eddie Albert;Hartley Power,118,https://www.imdb.com/title/tt0046250/
Stalag 17,8.0,1953,William Holden;Don Taylor;Otto Preminger;Robert Strauss,120,https://www.imdb.com/title/tt0046359/
Het loon van de Angst,8.1,1953,Yves Montand;Charles Vanel;Peter van Eyck;Folco Lulli,131,https://www.imdb.com/title/tt0046268/
Ugetsu monogatari,8.2,1953,Masayuki Mori;Machiko Kyô;Kinuyo Tanaka;Mitsuko Mito,96,https://www.imdb.com/title/tt0046478/
Tôkyô monogatari,8.2,1953,Chishû Ryû;Chieko Higashiyama;Sô Yamamura;Setsuko Hara,136,https://www.imdb.com/title/tt0046438/
Rear Window,8.5,1954,James Stewart;Grace Kelly;Wendell Corey;Thelma Ritter,112,https://www.imdb.com/title/tt0047396/
Dial M for Murder,8.2,1954,Ray Milland;Grace Kelly;Robert Cummings;John Williams,105,https://www.imdb.com/title/tt0046912/
Shichinin no samurai,8.6,1954,Toshirô Mifune;Takashi Shimura;Keiko Tsushima;Yukiko Shimazaki,207,https://www.imdb.com/title/tt0047478/
Sanshô dayû,8.4,1954,Kinuyo Tanaka;Yoshiaki Hanayagi;Kyôko Kagawa;Eitarô Shindô,124,https://www.imdb.com/title/tt0047445/
On the Waterfront,8.1,1954,Marlon Brando;Karl Malden;Lee J. Cobb;Rod Steiger,108,https://www.imdb.com/title/tt0047296/
Pather Panchali,8.4,1955,Kanu Bannerjee;Karuna Bannerjee;Subir Banerjee;Chunibala Devi,125,https://www.imdb.com/title/tt0048473/
Ordet,8.3,1955,Henrik Malberg;Emil Hass Christensen;Preben Lerdorff Rye;Hanne Aagesen,126,https://www.imdb.com/title/tt0048452/
Demonen,8.1,1955,Simone Signoret;Véra Clouzot;Paul Meurisse;Charles Vanel,117,https://www.imdb.com/title/tt0046911/
Tuntematon sotilas,8.0,1955,Kosti Klemelä;Heikki Savolainen;Reino Tolvanen;Veikko Sinisalo,177,https://www.imdb.com/title/tt0048752/
Du rififi chez les hommes,8.1,1955,Jean Servais;Carl Möhner;Robert Manuel;Janine Darcey,118,https://www.imdb.com/title/tt0048021/
The Searchers,7.9,1956,John Wayne;Jeffrey Hunter;Vera Miles;Ward Bond,119,https://www.imdb.com/title/tt0049730/
The Killing,8.0,1956,Sterling Hayden;Coleen Gray;Vince Edwards;Jay C. Flippen,84,https://www.imdb.com/title/tt0049406/
Aparajito,8.3,1956,Pinaki Sengupta;Smaran Ghosal;Kamala Adhikari;Lalchand Banerjee,110,https://www.imdb.com/title/tt0048956/
Un condamné à mort s'est échappé ou Le vent souffle où il veut,8.3,1956,François Leterrier;Charles Le Clainche;Maurice Beerblock;Roland Monod,101,https://www.imdb.com/title/tt0049902/
Biruma no tategoto,8.1,1956,Rentarô Mikuni;Shôji Yasui;Tatsuya Mihashi;Jun Hamamura,116,https://www.imdb.com/title/tt0049012/
De 12 gezworenen,9.0,1957,Henry Fonda;Lee J. Cobb;Martin Balsam;John Fiedler,96,https://www.imdb.com/title/tt0050083/
Letyat zhuravli,8.3,1957,Tatyana Samoylova;Aleksey Batalov;Vasiliy Merkurev;Aleksandr Shvorin,95,https://www.imdb.com/title/tt0050634/
Witness for the Prosecution,8.4,1957,Tyrone Power;Marlene Dietrich;Charles Laughton;Elsa Lanchester,116,https://www.imdb.com/title/tt0051201/
Het veld van eer,8.4,1957,Kirk Douglas;Ralph Meeker;Adolphe Menjou;George Macready,88,https://www.imdb.com/title/tt0050825/
Pyaasa,8.5,1957,Guru Dutt;Waheeda Rehman;Mala Sinha;Rehman Khan,146,https://www.imdb.com/title/tt0050870/
Vertigo,8.3,1958,James Stewart;Kim Novak;Barbara Bel Geddes;Tom Helmore,128,https://www.imdb.com/title/tt0052357/
I soliti ignoti,8.0,1958,Vittorio Gassman;Marcello Mastroianni;Renato Salvatori;Totò,106,https://www.imdb.com/title/tt0052216/
Touch of Evil,8.0,1958,Charlton Heston;Orson Welles;Janet Leigh;Joseph Calleia,95,https://www.imdb.com/title/tt0052311/
Kakushi-toride no san-akunin,8.1,1958,Toshirô Mifune;Misa Uehara;Minoru Chiaki;Kamatari Fujiwara,139,https://www.imdb.com/title/tt0051808/
De lift naar het schavot,8.0,1958,Jeanne Moreau;Maurice Ronet;Georges Poujouly;Yori Bertin,91,https://www.imdb.com/title/tt0051378/
Ningen no jôken,8.5,1959,Tatsuya Nakadai;Michiyo Aratama;Kokinji Katsura;Jun Tatara,181,https://www.imdb.com/title/tt0053115/
North by Northwest,8.3,1959,Cary Grant;Eva Marie Saint;James Mason;Jessie Royce Landis,136,https://www.imdb.com/title/tt0053125/
Ballada o soldate,8.2,1959,Vladimir Ivashov;Zhanna Prokhorenko;Antonina Maksimova;Nikolay Kryuchkov,88,https://www.imdb.com/title/tt0052600/
Ningen no jôken,8.6,1959,Tatsuya Nakadai;Michiyo Aratama;Chikage Awashima;Ineko Arima,208,https://www.imdb.com/title/tt0053114/
Apur Sansar,8.5,1959,Soumitra Chatterjee;Sharmila Tagore;Alok Chakravarty;Swapan Mukherjee,105,https://www.imdb.com/title/tt0052572/
Rocco e i suoi fratelli,8.3,1960,Alain Delon;Renato Salvatori;Annie Girardot;Claudia Cardinale,179,https://www.imdb.com/title/tt0054248/
Het appartement,8.3,1960,Jack Lemmon;Shirley MacLaine;Fred MacMurray;Ray Walston,125,https://www.imdb.com/title/tt0053604/
Le trou,8.5,1960,André Bervil;Jean Keraudy;Michel Constantin;Philippe Leroy,131,https://www.imdb.com/title/tt0054407/
Mughal-E-Azam,8.2,1960,Prithviraj Kapoor;Madhubala;Dilip Kumar;Durga Khote,197,https://www.imdb.com/title/tt0054098/
Psycho,8.5,1960,Anthony Perkins;Janet Leigh;Vera Miles;John Gavin,109,https://www.imdb.com/title/tt0054215/
The Hustler,8.0,1961,Paul Newman;Jackie Gleason;Piper Laurie;George C. Scott,134,https://www.imdb.com/title/tt0054997/
Ningen no jôken,8.8,1961,Tatsuya Nakadai;Michiyo Aratama;Tamao Nakamura;Yûsuke Kawazu,190,https://www.imdb.com/title/tt0055233/
Viridiana,8.1,1961,Silvia Pinal;Francisco Rabal;Fernando Rey;José Calvo,90,https://www.imdb.com/title/tt0055601/
Oordeel te Neurenberg,8.2,1961,Spencer Tracy;Burt Lancaster;Richard Widmark;Marlene Dietrich,179,https://www.imdb.com/title/tt0055031/
Yôjinbô,8.2,1961,Toshirô Mifune;Eijirô Tôno;Tatsuya Nakadai;Yôko Tsukasa,110,https://www.imdb.com/title/tt0055630/
Il sorpasso,8.3,1962,Vittorio Gassman;Jean-Louis Trintignant;Catherine Spaak;Claudio Gora,105,https://www.imdb.com/title/tt0056512/
Wat is er toch van Baby Jane terechtgekomen?,8.1,1962,Bette Davis;Joan Crawford;Victor Buono;Wesley Addy,134,https://www.imdb.com/title/tt0056687/
Lawrence of Arabia,8.3,1962,Peter O'Toole;Alec Guinness;Anthony Quinn;Jack Hawkins,228,https://www.imdb.com/title/tt0056172/
To Kill a Mockingbird,8.3,1962,Gregory Peck;John Megna;Frank Overton;Rosemary Murphy,129,https://www.imdb.com/title/tt0056592/
Seppuku,8.6,1962,Tatsuya Nakadai;Akira Ishihama;Shima Iwashita;Tetsurô Tanba,133,https://www.imdb.com/title/tt0056058/
El verdugo,8.0,1963,Nino Manfredi;Emma Penella;José Isbert;José Luis López Vázquez,87,https://www.imdb.com/title/tt0057643/
The Great Escape,8.2,1963,Steve McQueen;James Garner;Richard Attenborough;Charles Bronson,172,https://www.imdb.com/title/tt0057115/
Nattvardsgästerna,8.1,1963,Ingrid Thulin;Gunnar Björnstrand;Gunnel Lindblom;Max von Sydow,81,https://www.imdb.com/title/tt0057358/
Tengoku to jigoku,8.4,1963,Toshirô Mifune;Yutaka Sada;Tatsuya Nakadai;Kyôko Kagawa,143,https://www.imdb.com/title/tt0057565/
Le feu follet,8.0,1963,Maurice Ronet;Léna Skerla;Yvonne Clech;Hubert Deschamps,108,https://www.imdb.com/title/tt0057058/
De vrouw in het zand,8.5,1964,Eiji Okada;Kyôko Kishida;Hiroko Itô;Kôji Mitsui,147,https://www.imdb.com/title/tt0058625/
